"A1"	"A2"	"A3"	"A4"	"B1"	"B2"	"B3"	"B4"
"Legionella"	0	0	0.174520069808028	0.333889816360601	0	0.0630517023959647	0.107991360691145	0
"Lentimicrobium"	0.308641975308642	0.277264325323475	0.087260034904014	0.333889816360601	0.800640512409928	0.756620428751576	0.323974082073434	0.778485491861288
"Leucothrix"	0	0	0	0.1669449081803	0.160128102481986	0	0.107991360691145	0
"Lichenicoccus"	0	0.0924214417744917	0	0	0	0	0	0
"Lignipirellula"	0.462962962962963	0	0.261780104712042	0.333889816360601	0.160128102481986	0.0630517023959647	0.107991360691145	0.0707714083510262
"Limibaculum"	0.154320987654321	0	0.087260034904014	0.333889816360601	0.240192153722978	0.0630517023959647	0.107991360691145	0.141542816702052
"Limihaloglobus"	0	0.0924214417744917	0	0	0	0	0	0.0707714083510262
"Limnoglobus"	0	0	0.087260034904014	0	0	0	0	0
"Limosilactobacillus"	0	0	0.087260034904014	0	0	0	0	0.0707714083510262
"Litoreibacter"	0	0	0	0	0	0.0630517023959647	0	0
"Litoribaculum"	0	0	0	0	0.0800640512409928	0	0	0
"Litorisediminivivens"	0	0	0.087260034904014	0	0	0	0	0
"Litorivivens"	0	0.184842883548983	0.087260034904014	0	0.0800640512409928	0	0.107991360691145	0.212314225053079
"Longimicrobium"	0.154320987654321	0.0924214417744917	0.261780104712042	0.1669449081803	0.240192153722978	0.0630517023959647	0.215982721382289	0.0707714083510262
"Longivirga"	0	0	0	0	0.0800640512409928	0	0	0
"Lujinxingia"	0.154320987654321	0	0	0	0	0	0	0
"Luoshenia"	0	0	0	0	0.0800640512409928	0	0	0.141542816702052
"Lusitaniella"	0	0	0	0.1669449081803	0	0	0	0
"Luteitalea"	0.154320987654321	0.55452865064695	1.2216404886562	1.5025041736227	0.160128102481986	0.126103404791929	0.323974082073434	0.0707714083510262
"Luteolibacter"	0.154320987654321	0.0924214417744917	0	0.1669449081803	0.480384307445957	0.0630517023959647	0.431965442764579	0.353857041755131
"Lutibacter"	0	0.184842883548983	0	0	0	0	0	0
"Lutibaculum"	0	0.0924214417744917	0	0	0.0800640512409928	0	0	0
"Lysinibacillus"	0.308641975308642	0	0	0	0	0	0	0
"Lysobacter"	0.154320987654321	0	0	0	0	0	0	0
"Macrochaete"	0	0.0924214417744917	0	0.1669449081803	0	0	0	0
"Magnetospirillum"	0	0	0	0.1669449081803	0	0	0	0
"Maioricimonas"	0.154320987654321	0.184842883548983	0	0	0.0800640512409928	0	0	0
"Mangrovibacterium"	0	0	0.174520069808028	0.500834724540901	0.160128102481986	0.126103404791929	0.323974082073434	0.141542816702052
